
--- Run started 2026-02-08 17:56:26 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 154000/500000, Total Reward: 25801, Epsilon: 0.0100, Buffer: 100000
Episode 155000/500000, Total Reward: 34046, Epsilon: 0.0100, Buffer: 100000
Episode 156000/500000, Total Reward: 25829, Epsilon: 0.0100, Buffer: 100000
Episode 157000/500000, Total Reward: 35376, Epsilon: 0.0100, Buffer: 100000
Episode 158000/500000, Total Reward: 32679, Epsilon: 0.0100, Buffer: 100000
Episode 159000/500000, Total Reward: 29108, Epsilon: 0.0100, Buffer: 100000
Episode 160000/500000, Total Reward: 32300, Epsilon: 0.0100, Buffer: 100000
Episode 161000/500000, Total Reward: 33344, Epsilon: 0.0100, Buffer: 100000
Episode 162000/500000, Total Reward: 19413, Epsilon: 0.0100, Buffer: 100000
Episode 163000/500000, Total Reward: 33507, Epsilon: 0.0100, Buffer: 100000
Episode 164000/500000, Total Reward: 32786, Epsilon: 0.0100, Buffer: 100000
Episode 165000/500000, Total Reward: 31181, Epsilon: 0.0100, Buffer: 100000
Episode 166000/500000, Total Reward: 25407, Epsilon: 0.0100, Buffer: 100000
Episode 167000/500000, Total Reward: 33087, Epsilon: 0.0100, Buffer: 100000
Episode 168000/500000, Total Reward: 34117, Epsilon: 0.0100, Buffer: 100000
Episode 169000/500000, Total Reward: 26757, Epsilon: 0.0100, Buffer: 100000
Episode 170000/500000, Total Reward: 30943, Epsilon: 0.0100, Buffer: 100000
Episode 171000/500000, Total Reward: 28750, Epsilon: 0.0100, Buffer: 100000
Episode 172000/500000, Total Reward: 34599, Epsilon: 0.0100, Buffer: 100000
Episode 173000/500000, Total Reward: 31936, Epsilon: 0.0100, Buffer: 100000
Episode 174000/500000, Total Reward: 31472, Epsilon: 0.0100, Buffer: 100000
Episode 175000/500000, Total Reward: 37401, Epsilon: 0.0100, Buffer: 100000
Episode 176000/500000, Total Reward: 36759, Epsilon: 0.0100, Buffer: 100000
Episode 177000/500000, Total Reward: 34528, Epsilon: 0.0100, Buffer: 100000
Episode 178000/500000, Total Reward: 26144, Epsilon: 0.0100, Buffer: 100000
Episode 179000/500000, Total Reward: 26240, Epsilon: 0.0100, Buffer: 100000
Episode 180000/500000, Total Reward: 38483, Epsilon: 0.0100, Buffer: 100000
Episode 181000/500000, Total Reward: 31810, Epsilon: 0.0100, Buffer: 100000
Episode 182000/500000, Total Reward: 34997, Epsilon: 0.0100, Buffer: 100000
Episode 183000/500000, Total Reward: 33343, Epsilon: 0.0100, Buffer: 100000
Episode 184000/500000, Total Reward: 36236, Epsilon: 0.0100, Buffer: 100000
Episode 185000/500000, Total Reward: 23118, Epsilon: 0.0100, Buffer: 100000
Episode 186000/500000, Total Reward: 27987, Epsilon: 0.0100, Buffer: 100000
Episode 187000/500000, Total Reward: 27290, Epsilon: 0.0100, Buffer: 100000
Episode 188000/500000, Total Reward: 26617, Epsilon: 0.0100, Buffer: 100000
Episode 189000/500000, Total Reward: 38969, Epsilon: 0.0100, Buffer: 100000
Episode 190000/500000, Total Reward: 34684, Epsilon: 0.0100, Buffer: 100000
Episode 191000/500000, Total Reward: 28099, Epsilon: 0.0100, Buffer: 100000
Episode 192000/500000, Total Reward: 34771, Epsilon: 0.0100, Buffer: 100000
Episode 193000/500000, Total Reward: 32121, Epsilon: 0.0100, Buffer: 100000
Episode 194000/500000, Total Reward: 28911, Epsilon: 0.0100, Buffer: 100000
Episode 195000/500000, Total Reward: 34309, Epsilon: 0.0100, Buffer: 100000
Episode 196000/500000, Total Reward: 37998, Epsilon: 0.0100, Buffer: 100000
Episode 197000/500000, Total Reward: 38156, Epsilon: 0.0100, Buffer: 100000
Episode 198000/500000, Total Reward: 26843, Epsilon: 0.0100, Buffer: 100000
Episode 199000/500000, Total Reward: 18288, Epsilon: 0.0100, Buffer: 100000
Episode 200000/500000, Total Reward: 39638, Epsilon: 0.0100, Buffer: 100000
Episode 201000/500000, Total Reward: 31328, Epsilon: 0.0100, Buffer: 100000
Episode 202000/500000, Total Reward: 23896, Epsilon: 0.0100, Buffer: 100000
Episode 203000/500000, Total Reward: 30524, Epsilon: 0.0100, Buffer: 100000
Episode 204000/500000, Total Reward: 28428, Epsilon: 0.0100, Buffer: 100000
Episode 205000/500000, Total Reward: 31258, Epsilon: 0.0100, Buffer: 100000
Episode 206000/500000, Total Reward: 40818, Epsilon: 0.0100, Buffer: 100000
Episode 207000/500000, Total Reward: 30838, Epsilon: 0.0100, Buffer: 100000
Episode 208000/500000, Total Reward: 30436, Epsilon: 0.0100, Buffer: 100000
Episode 209000/500000, Total Reward: 25045, Epsilon: 0.0100, Buffer: 100000
Episode 210000/500000, Total Reward: 36856, Epsilon: 0.0100, Buffer: 100000
Episode 211000/500000, Total Reward: 38135, Epsilon: 0.0100, Buffer: 100000
Episode 212000/500000, Total Reward: 42927, Epsilon: 0.0100, Buffer: 100000
Episode 213000/500000, Total Reward: 38844, Epsilon: 0.0100, Buffer: 100000
Episode 214000/500000, Total Reward: 30583, Epsilon: 0.0100, Buffer: 100000
Episode 215000/500000, Total Reward: 23620, Epsilon: 0.0100, Buffer: 100000
Episode 216000/500000, Total Reward: 30970, Epsilon: 0.0100, Buffer: 100000
Episode 217000/500000, Total Reward: 32355, Epsilon: 0.0100, Buffer: 100000
Episode 218000/500000, Total Reward: 28008, Epsilon: 0.0100, Buffer: 100000
Episode 219000/500000, Total Reward: 38421, Epsilon: 0.0100, Buffer: 100000
Episode 220000/500000, Total Reward: 31727, Epsilon: 0.0100, Buffer: 100000
Episode 221000/500000, Total Reward: 28059, Epsilon: 0.0100, Buffer: 100000
Episode 222000/500000, Total Reward: 29909, Epsilon: 0.0100, Buffer: 100000
Episode 223000/500000, Total Reward: 36301, Epsilon: 0.0100, Buffer: 100000
Episode 224000/500000, Total Reward: 32399, Epsilon: 0.0100, Buffer: 100000
Episode 225000/500000, Total Reward: 29203, Epsilon: 0.0100, Buffer: 100000
Episode 226000/500000, Total Reward: 116, Epsilon: 0.0100, Buffer: 100000
Episode 227000/500000, Total Reward: 26843, Epsilon: 0.0100, Buffer: 100000
Episode 228000/500000, Total Reward: 37304, Epsilon: 0.0100, Buffer: 100000
Episode 229000/500000, Total Reward: 35095, Epsilon: 0.0100, Buffer: 100000
Episode 230000/500000, Total Reward: 34278, Epsilon: 0.0100, Buffer: 100000
Episode 231000/500000, Total Reward: 38088, Epsilon: 0.0100, Buffer: 100000
Episode 232000/500000, Total Reward: 38222, Epsilon: 0.0100, Buffer: 100000
Episode 233000/500000, Total Reward: 24973, Epsilon: 0.0100, Buffer: 100000
Episode 234000/500000, Total Reward: 28495, Epsilon: 0.0100, Buffer: 100000
Episode 235000/500000, Total Reward: 32895, Epsilon: 0.0100, Buffer: 100000
Episode 236000/500000, Total Reward: 36197, Epsilon: 0.0100, Buffer: 100000
Episode 237000/500000, Total Reward: 32251, Epsilon: 0.0100, Buffer: 100000
Episode 238000/500000, Total Reward: 39001, Epsilon: 0.0100, Buffer: 100000
Episode 239000/500000, Total Reward: 30688, Epsilon: 0.0100, Buffer: 100000
Episode 240000/500000, Total Reward: 30111, Epsilon: 0.0100, Buffer: 100000
Episode 241000/500000, Total Reward: 24595, Epsilon: 0.0100, Buffer: 100000
Episode 242000/500000, Total Reward: 38942, Epsilon: 0.0100, Buffer: 100000
Episode 243000/500000, Total Reward: 37221, Epsilon: 0.0100, Buffer: 100000
Episode 244000/500000, Total Reward: 20604, Epsilon: 0.0100, Buffer: 100000
