scenario,metric,parity,mean,std_across_seeds,se_across_seeds
OB,parity_annual_rate_involuntary,2,0.0,,0.0
OB,parity_annual_rate_total,3,0.21778575856082077,,0.0038563802819145806
OB,parity_annual_rate_voluntary,3,0.18116750936713494,,0.0046519024822112695
OB,parity_annual_rate_death,3,0.036618249193685865,,0.002096759954514542
OB,parity_annual_rate_involuntary,3,0.0,,0.0
OB,parity_annual_rate_total,4,0.2376384373348673,,0.002531885367812808
OB,parity_annual_rate_voluntary,4,0.19178646496760127,,0.0028037027757809568
OB,parity_annual_rate_death,4,0.04585197236726603,,0.001397346914895158
OB,parity_annual_rate_involuntary,4,0.0,,0.0
OB,parity_annual_rate_total,5,0.2806171689546554,,0.007008209349867825
OB,parity_annual_rate_voluntary,5,0.22911982160199434,,0.00466391567496293
OB,parity_annual_rate_death,5,0.05149734735266104,,0.003300826694032591
OB,parity_annual_rate_involuntary,5,0.0,,0.0
OB,parity_annual_rate_total,6,0.37504009295116364,,0.00824771954124413
OB,parity_annual_rate_voluntary,6,0.29723884778378173,,0.008139686594040404
OB,parity_annual_rate_death,6,0.0778012451673819,,0.0066075099558804
OB,parity_annual_rate_involuntary,6,0.0,,0.0
OB,parity_annual_rate_total,7,0.4716577016075396,,0.01390734306292354
OB,parity_annual_rate_voluntary,7,0.3997564535897517,,0.012717654571709609
OB,parity_annual_rate_death,7,0.0719012480177879,,0.005821956694583299
OB,parity_annual_rate_involuntary,7,0.0,,0.0
OB,parity_annual_rate_total,8,0.6019942618079765,,0.015608675482857949
OB,parity_annual_rate_voluntary,8,0.5418400656505185,,0.012659746281622372
OB,parity_annual_rate_death,8,0.060154196157458206,,0.0034207353489664233
OB,parity_annual_rate_involuntary,8,0.0,,0.0
OB,parity_annual_rate_total,9,0.8529104065773243,,0.020440820994497268
OB,parity_annual_rate_voluntary,9,0.7881794542484537,,0.01507712345817193
OB,parity_annual_rate_death,9,0.06473095232887063,,0.009138824343435863
OB,parity_annual_rate_involuntary,9,0.0,,0.0
OB,parity_annual_rate_total,10,1.2832367778445208,,0.06921988441200402
OB,parity_annual_rate_voluntary,10,1.2340464821891368,,0.059275696396288206
OB,parity_annual_rate_death,10,0.04919029565538387,,0.014271645949578962
OB,parity_annual_rate_involuntary,10,0.0,,0.0
OB,parity_annual_rate_total,11,2.001692710049553,,0.13949536407806487
OB,parity_annual_rate_voluntary,11,1.9276487651512006,,0.1380009668695982
OB,parity_annual_rate_death,11,0.07404394489835246,,0.014398937316698527
OB,parity_annual_rate_involuntary,11,0.0,,0.0
OB,parity_annual_rate_total,12,4.199226867687305,,0.27895355229985436
OB,parity_annual_rate_voluntary,12,3.7617087648614893,,0.26987504869061624
OB,parity_annual_rate_death,12,0.11294153989047011,,0.02195972607340522
OB,parity_annual_rate_involuntary,12,0.32457656293534487,,0.05585296764637771
UG,overall_reward,all,69338.03552398454,241.45473460325744,107.98184001241086
UG,overall_discounted,all,7101.743392004055,38.74817946195169,17.328712656257043
UG,annualized_reward,all,4622.535701598969,16.096982306883827,7.198789334160724
UG,parity_reward,0,70437.90979565152,123.93360472586265,55.424792972723615
UG,parity_discounted,0,8238.934411624994,29.238928543938346,13.076046362701018
UG,parity_reward,1,69242.70385910387,99.24410555021875,44.383313275290654
UG,parity_discounted,1,7465.940988172119,31.03992475792934,13.881476355041741
UG,parity_reward,2,69784.10561174735,326.53215250882795,146.02961796981356
UG,parity_discounted,2,7903.5641356731985,42.867873437000604,19.171095811198178
UG,parity_reward,3,70133.21452493824,292.323451217813,130.7310216680747
UG,parity_discounted,3,8038.408569089159,20.46276841695513,9.151228237629486
UG,parity_reward,4,70068.4685910388,339.5422045031307,151.84789009982708
UG,parity_discounted,4,8081.244521403509,33.58529239580741,15.019799368246426
UG,parity_reward,5,69814.03423089019,253.34524984100085,113.29944008422913
UG,parity_discounted,5,8010.0473366402175,48.53190545550164,21.70412793521891
UG,parity_reward,6,69647.25680176317,228.97713475546144,102.40168772126829
UG,parity_discounted,6,7835.597407790352,39.549472857590004,17.687061956770822
UG,parity_reward,7,69354.2443062835,317.7880449751549,142.11913420024135
UG,parity_discounted,7,7691.249206282887,28.04662667184159,12.542832755559296
UG,parity_reward,8,69164.05620274015,326.21829483216385,145.88925654975733
UG,parity_discounted,8,7463.318347844058,37.89496724279133,16.947144552001838
UG,parity_reward,9,69117.384779635,262.62041445378014,117.44741979956413
UG,parity_discounted,9,7248.014136088731,70.69027724928887,31.61365305554335
UG,parity_reward,10,69529.34195331528,304.16775452969256,136.02795513837242
UG,parity_discounted,10,7080.1006404162345,90.76057826377992,40.58936453500034
UG,parity_reward,11,68993.5134898796,309.4628765588279,138.39600569963306
UG,parity_discounted,11,6827.929499724865,62.65073713265969,28.018261413819467
UG,parity_reward,12,69178.62584800449,230.61066971608128,103.13222676438197
UG,parity_discounted,12,6645.236324585057,53.28556134256634,23.83002747624266
UG,parity_fraction,0,0.021677777777777775,,0.0005106066350944424
UG,replacement_fraction,0,0.0,,0.0
