parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
2,12,4,0,1611.52,1611.52,952.89,658.63,keep
2,12,4,1,1372.68,1372.68,967.50,405.18,keep
2,12,5,0,1687.10,1687.10,952.89,734.21,keep
2,12,5,1,1449.38,1449.38,967.50,481.89,keep
2,12,6,0,1756.04,1756.04,952.89,803.15,keep
2,12,6,1,1523.42,1523.42,967.50,555.92,keep
2,12,7,0,1816.09,1816.09,952.89,863.20,keep
2,12,7,1,1603.01,1603.01,967.50,635.51,keep
2,12,8,0,1863.60,1863.60,1032.90,830.70,keep
2,12,8,1,1722.76,1722.76,1004.31,718.46,keep
2,12,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,12,9,1,1894.66,1894.66,1004.31,890.35,keep
2,13,0,0,959.75,955.10,959.75,-4.65,replace
2,13,0,1,970.65,797.41,970.65,-173.24,replace
2,13,3,0,1476.64,1476.64,959.75,516.90,keep
2,13,3,1,1248.54,1248.54,970.65,277.88,keep
2,13,4,0,1565.23,1565.23,959.75,605.49,keep
2,13,4,1,1337.09,1337.09,970.65,366.44,keep
2,13,5,0,1650.12,1650.12,959.75,690.37,keep
2,13,5,1,1422.89,1422.89,970.65,452.24,keep
2,13,6,0,1729.73,1729.73,959.75,769.98,keep
2,13,6,1,1506.94,1506.94,970.65,536.29,keep
2,13,7,0,1801.99,1801.99,959.75,842.25,keep
2,13,7,1,1596.56,1596.56,970.65,625.90,keep
2,13,8,0,1863.60,1863.60,1032.90,830.70,keep
2,13,8,1,1722.76,1722.76,1004.30,718.46,keep
2,13,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,13,9,1,1894.66,1894.66,1004.30,890.35,keep
2,14,0,0,966.12,947.52,966.12,-18.60,replace
2,14,0,1,973.58,795.94,973.58,-177.65,replace
2,14,4,0,1522.44,1522.44,966.12,556.32,keep
2,14,4,1,1304.22,1304.22,973.58,330.64,keep
2,14,5,0,1615.88,1615.88,966.12,649.76,keep
2,14,5,1,1398.39,1398.39,973.58,424.81,keep
2,14,6,0,1705.33,1705.33,966.12,739.21,keep
2,14,6,1,1491.68,1491.68,973.58,518.09,keep
2,14,7,0,1788.91,1788.91,966.12,822.78,keep
2,14,7,1,1590.56,1590.56,973.58,616.98,keep
2,14,8,0,1863.60,1863.60,1032.90,830.70,keep
2,14,8,1,1722.76,1722.76,1004.30,718.46,keep
2,14,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,14,9,1,1894.66,1894.66,1004.30,890.35,keep
2,15,0,0,972.02,940.50,972.02,-31.52,replace
2,15,0,1,976.30,794.56,976.30,-181.74,replace
2,15,5,0,1584.31,1584.31,972.02,612.28,keep
2,15,5,1,1375.81,1375.81,976.30,399.51,keep
2,15,6,0,1682.80,1682.80,972.02,710.78,keep
2,15,6,1,1477.58,1477.58,976.30,501.29,keep
2,15,7,0,1776.80,1776.80,972.02,804.78,keep
2,15,7,1,1585.02,1585.02,976.30,608.72,keep
2,15,8,0,1863.60,1863.60,1032.90,830.70,keep
2,15,8,1,1722.76,1722.76,1004.30,718.45,keep
2,15,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,15,9,1,1894.65,1894.65,1004.30,890.35,keep
2,16,0,0,977.46,934.01,977.46,-43.45,replace
2,16,0,1,978.80,793.28,978.80,-185.52,replace
2,16,6,0,1662.04,1662.04,977.46,684.58,keep
2,16,6,1,1464.61,1464.61,978.80,485.81,keep
2,16,7,0,1765.64,1765.64,977.46,788.18,keep
2,16,7,1,1579.90,1579.90,978.80,601.10,keep
2,16,8,0,1863.60,1863.60,1032.90,830.70,keep
2,16,8,1,1722.76,1722.76,1004.30,718.45,keep
2,16,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,16,9,1,1894.65,1894.65,1004.30,890.35,keep
2,17,0,0,982.46,928.03,982.46,-54.44,replace
2,17,0,1,981.10,792.10,981.10,-189.00,replace
2,17,7,0,1755.37,1755.37,982.46,772.90,keep
2,17,7,1,1575.20,1575.20,981.10,594.10,keep
2,17,8,0,1863.60,1863.60,1032.90,830.70,keep
2,17,8,1,1722.76,1722.76,1004.30,718.45,keep
2,17,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,17,9,1,1894.65,1894.65,1004.30,890.35,keep
2,18,0,0,987.06,952.71,987.06,-34.35,replace
2,18,0,1,983.21,811.11,983.21,-172.11,replace
2,18,8,0,1863.60,1863.60,1032.90,830.70,keep
2,18,8,1,1722.76,1722.76,1004.30,718.45,keep
2,18,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,18,9,1,1894.65,1894.65,1004.30,890.35,keep
2,19,0,0,1023.98,1023.98,991.26,32.72,keep
2,19,0,1,985.15,876.65,985.15,-108.50,replace
2,19,9,0,2088.40,2088.40,1032.90,1055.50,keep
2,19,9,1,1894.65,1894.65,1004.30,890.35,keep
2,20,0,0,1109.17,1109.17,995.11,114.06,keep
2,20,0,1,1037.02,1037.02,986.92,50.10,keep
3,1,0,0,2224.92,2224.92,1024.89,1200.02,keep
3,1,0,1,1860.03,1860.03,1041.93,818.11,keep
3,2,0,0,2120.69,2120.69,954.79,1165.90,keep
3,2,0,1,1730.65,1730.65,997.99,732.66,keep
3,3,0,0,1993.08,1993.08,930.46,1062.62,keep
3,3,0,1,1587.50,1587.50,981.66,605.84,keep
3,4,0,0,1822.18,1822.18,925.72,896.46,keep
3,4,0,1,1429.08,1429.08,977.22,451.85,keep
3,4,1,0,2116.36,2116.36,925.72,1190.64,keep
3,4,1,1,1757.55,1757.55,977.22,780.32,keep
3,5,0,0,1657.25,1657.25,929.83,727.42,keep
3,5,0,1,1280.59,1280.59,978.13,302.46,keep
3,5,1,0,1994.35,1994.35,929.83,1064.52,keep
3,5,1,1,1651.53,1651.53,978.13,673.40,keep
3,5,2,0,2026.23,2026.23,929.83,1096.40,keep
3,5,2,1,1683.26,1683.26,978.13,705.14,keep
3,6,0,0,1502.94,1502.94,937.84,565.10,keep
