parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
2,13,0,1,1853.43,1687.95,1853.43,-165.48,replace
2,13,3,0,2807.05,2807.05,1942.61,864.44,keep
2,13,3,1,2568.91,2568.91,1853.43,715.49,keep
2,13,4,0,2971.50,2971.50,1942.61,1028.89,keep
2,13,4,1,2733.00,2733.00,1853.43,879.57,keep
2,13,5,0,3136.43,3136.43,1942.61,1193.82,keep
2,13,5,1,2898.50,2898.50,1853.43,1045.08,keep
2,13,6,0,3300.50,3300.50,1942.61,1357.89,keep
2,13,6,1,3066.65,3066.65,1853.43,1213.22,keep
2,13,7,0,3461.88,3461.88,1942.61,1519.27,keep
2,13,7,1,3244.99,3244.99,1853.43,1391.56,keep
2,13,8,0,3617.51,3617.51,2015.76,1601.74,keep
2,13,8,1,3464.81,3464.81,1887.08,1577.73,keep
2,13,9,0,3941.51,3941.51,2015.76,1925.75,keep
2,13,9,1,3735.48,3735.48,1887.08,1848.40,keep
2,14,0,0,1948.99,1874.30,1948.99,-74.69,replace
2,14,0,1,1856.36,1686.47,1856.36,-169.89,replace
2,14,4,0,2928.71,2928.71,1948.99,979.73,keep
2,14,4,1,2700.13,2700.13,1856.36,843.78,keep
2,14,5,0,3102.20,3102.20,1948.99,1153.21,keep
2,14,5,1,2874.00,2874.00,1856.36,1017.65,keep
2,14,6,0,3276.10,3276.10,1948.99,1327.12,keep
2,14,6,1,3051.38,3051.38,1856.36,1195.02,keep
2,14,7,0,3448.79,3448.79,1948.99,1499.80,keep
2,14,7,1,3238.99,3238.99,1856.36,1382.63,keep
2,14,8,0,3617.51,3617.51,2015.76,1601.74,keep
2,14,8,1,3464.80,3464.80,1887.08,1577.73,keep
2,14,9,0,3941.51,3941.51,2015.76,1925.75,keep
2,14,9,1,3735.48,3735.48,1887.08,1848.40,keep
2,15,0,0,1954.89,1867.28,1954.89,-87.61,replace
2,15,0,1,1859.07,1685.10,1859.07,-173.97,replace
2,15,5,0,3070.62,3070.62,1954.89,1115.73,keep
2,15,5,1,2851.42,2851.42,1859.07,992.35,keep
2,15,6,0,3253.57,3253.57,1954.89,1298.68,keep
2,15,6,1,3037.29,3037.29,1859.07,1178.22,keep
2,15,7,0,3436.68,3436.68,1954.89,1481.80,keep
2,15,7,1,3233.45,3233.45,1859.07,1374.38,keep
2,15,8,0,3617.51,3617.51,2015.76,1601.74,keep
2,15,8,1,3464.80,3464.80,1887.07,1577.73,keep
2,15,9,0,3941.51,3941.51,2015.76,1925.75,keep
2,15,9,1,3735.48,3735.48,1887.07,1848.40,keep
2,16,0,0,1960.33,1860.79,1960.33,-99.54,replace
2,16,0,1,1861.57,1683.82,1861.57,-177.76,replace
2,16,6,0,3232.81,3232.81,1960.33,1272.49,keep
2,16,6,1,3024.31,3024.31,1861.57,1162.74,keep
2,16,7,0,3425.52,3425.52,1960.33,1465.19,keep
2,16,7,1,3228.33,3228.33,1861.57,1366.76,keep
2,16,8,0,3617.51,3617.51,2015.76,1601.74,keep
2,16,8,1,3464.80,3464.80,1887.07,1577.73,keep
2,16,9,0,3941.51,3941.51,2015.76,1925.75,keep
2,16,9,1,3735.48,3735.48,1887.07,1848.40,keep
2,17,0,0,1965.33,1854.81,1965.33,-110.52,replace
2,17,0,1,1863.87,1682.63,1863.87,-181.24,replace
2,17,7,0,3415.25,3415.25,1965.33,1449.92,keep
2,17,7,1,3223.63,3223.63,1863.87,1359.76,keep
2,17,8,0,3617.51,3617.51,2015.76,1601.74,keep
