parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,20,0,1,4287.91,4287.91,4194.74,93.17,keep
2,1,0,0,5334.28,5334.28,4506.51,827.77,keep
2,1,0,1,4880.15,4880.15,4434.03,446.12,keep
2,2,0,0,5274.63,5274.63,4454.10,820.53,keep
2,2,0,1,4783.44,4783.44,4400.83,382.61,keep
2,3,0,0,5171.02,5171.02,4435.65,735.37,keep
2,3,0,1,4656.91,4656.91,4388.36,268.55,keep
2,4,0,0,4987.80,4987.80,4431.67,556.14,keep
2,4,0,1,4499.37,4499.37,4384.77,114.60,keep
2,4,1,0,5378.31,5378.31,4431.67,946.64,keep
2,4,1,1,4922.36,4922.36,4384.77,537.59,keep
2,5,0,0,4818.04,4818.04,4434.22,383.82,keep
2,5,0,1,4385.17,4384.28,4385.17,-0.90,replace
2,5,1,0,5227.34,5227.34,4434.22,793.12,keep
2,5,1,1,4790.66,4790.66,4385.17,405.49,keep
2,5,2,0,5313.13,5313.13,4434.22,878.91,keep
2,5,2,1,4876.18,4876.18,4385.17,491.01,keep
2,6,0,0,4670.53,4670.53,4439.67,230.85,keep
2,6,0,1,4387.34,4287.62,4387.34,-99.73,replace
2,6,1,0,5077.92,5077.92,4439.67,638.24,keep
2,6,1,1,4661.97,4661.97,4387.34,274.63,keep
2,6,2,0,5179.34,5179.34,4439.67,739.67,keep
2,6,2,1,4763.05,4763.05,4387.34,375.70,keep
2,6,3,0,5269.85,5269.85,4439.67,830.18,keep
2,6,3,1,4853.48,4853.48,4387.34,466.14,keep
2,7,0,0,4555.41,4555.41,4446.33,109.09,keep
2,7,0,1,4390.26,4215.56,4390.26,-174.69,replace
2,7,1,0,4932.94,4932.94,4446.33,486.61,keep
2,7,1,1,4538.12,4538.12,4390.26,147.86,keep
2,7,2,0,5048.96,5048.96,4446.33,602.63,keep
2,7,2,1,4653.72,4653.72,4390.26,263.46,keep
2,7,3,0,5155.97,5155.97,4446.33,709.64,keep
2,7,3,1,4760.55,4760.55,4390.26,370.29,keep
2,7,4,0,5251.44,5251.44,4446.33,805.11,keep
2,7,4,1,4856.64,4856.64,4390.26,466.38,keep
2,8,0,0,4482.55,4482.55,4453.36,29.18,keep
2,8,0,1,4393.43,4177.75,4393.43,-215.67,replace
2,8,1,0,4794.26,4794.26,4453.36,340.90,keep
2,8,1,1,4420.29,4420.29,4393.43,26.86,keep
2,8,2,0,4923.84,4923.84,4453.36,470.48,keep
2,8,2,1,4549.38,4549.38,4393.43,155.96,keep
2,8,3,0,5046.26,5046.26,4453.36,592.89,keep
2,8,3,1,4671.52,4671.52,4393.43,278.10,keep
2,8,4,0,5159.14,5159.14,4453.36,705.78,keep
2,8,4,1,4784.85,4784.85,4393.43,391.42,keep
2,8,5,0,5259.78,5259.78,4453.36,806.42,keep
2,8,5,1,4888.44,4888.44,4393.43,495.01,keep
2,9,0,0,4460.38,4438.18,4460.38,-22.20,replace
2,9,0,1,4396.62,4159.82,4396.62,-236.81,replace
2,9,1,0,4664.08,4664.08,4460.38,203.70,keep
